feature,importance
kidney_outlier_flag,0.0002741627483472465
physical_outlier_flag,0.0008862405416799572
hearing_left,0.0015459741362448757
hearing_right,0.0017880067821865226
urine_protein,0.0049211430614281544
dental_caries,0.008061627100538553
eyesight_right,0.027569147086858353
eyesight_left,0.028827633665060443
weight_kg,0.030435717090332364
serum_creatinine,0.03266450276297423
age,0.0386110789330725
ast,0.04690336575176059
alt,0.05215144447238198
systolic,0.05451205436777852
fasting_blood_sugar,0.05515669588936595
hdl,0.05866813730110325
cholesterol,0.06687263229881027
triglyceride,0.07053494898414504
hemoglobin,0.10103067835106369
gtp,0.10553457715195813
height_cm,0.21305023152290942
