feature,importance
kidney_outlier_flag,0.0006799360610190814
physical_outlier_flag,0.0008942452640946514
hearing_right,0.0015043967226346239
hearing_left,0.0016291398979084472
urine_protein,0.003302702326979424
dental_caries,0.010557786079315575
eyesight_left,0.015678292753403475
eyesight_right,0.016989400139326927
ast,0.02679920123365436
fasting_blood_sugar,0.027966793796087158
systolic,0.028382528802067864
cholesterol,0.03449207815481814
alt,0.035801467637747476
hdl,0.037266406493985
age,0.04342258641246779
serum_creatinine,0.05258982727266742
weight_kg,0.05486601268443693
triglyceride,0.06965307005185967
gtp,0.14904302306909425
hemoglobin,0.17346907369074524
height_cm,0.21501203145568665
