feature,importance
physical_outlier_flag,0.008908566870539926
eyesight_left,0.008926018184262469
hearing_left,0.011718246133128161
hearing_right,0.013673711959249083
urine_protein,0.01910695617596962
age,0.02359628009571508
serum_creatinine,0.031104380303100594
kidney_outlier_flag,0.03506654268423996
eyesight_right,0.03704197926697918
ast,0.050323664801943856
hdl,0.0696102217937484
fasting_blood_sugar,0.07404785598640386
systolic,0.11037141391764782
dental_caries,0.1669783305974761
cholesterol,0.18663161613579238
alt,0.1962287801904098
weight_kg,0.21661869231849015
triglyceride,0.28612911876090147
gtp,0.593569875426442
hemoglobin,0.6795708946780721
height_cm,0.733274162178733
