feature,importance
eyesight_left,0.023195358
hearing_right,0.023459066
urine_protein,0.023546252
kidney_outlier_flag,0.024021724
eyesight_right,0.02410544
fasting_blood_sugar,0.024124607
systolic,0.025773779
ast,0.02621966
hdl,0.0263767
cholesterol,0.026864588
weight_kg,0.02731222
hearing_left,0.029049974
alt,0.029338026
triglyceride,0.029593414
physical_outlier_flag,0.03075641
serum_creatinine,0.03172577
age,0.03710111
dental_caries,0.043953657
gtp,0.064934015
hemoglobin,0.080760166
height_cm,0.34778804
