feature,importance
kidney_outlier_flag,0.00014208468466913462
hearing_left,0.0005031910889786051
hearing_right,0.0006852999763765605
physical_outlier_flag,0.0010169608715140355
urine_protein,0.0025827517661082618
weight_kg,0.0070266698067166355
eyesight_left,0.007363454406080773
eyesight_right,0.007941198887354572
dental_caries,0.008879919701660407
relaxation,0.014732078826108715
waist_cm,0.017512657217022658
serum_creatinine,0.018119718577509353
ast,0.018654211941571675
systolic,0.018737957896660124
fasting_blood_sugar,0.0193559117512346
cholesterol,0.01969958420431907
hdl,0.02372177723766099
ldl,0.025471222996961095
alt,0.0304320649168631
age,0.03043542295176695
triglyceride,0.03843816791353176
hemoglobin,0.1250679181962398
gtp,0.14317737006186468
height_cm,0.4203024041212265
