feature,importance
physical_outlier_flag,0.008474718201801807
eyesight_left,0.008840953756976761
age,0.010833100620781532
hearing_left,0.01226124769382706
hearing_right,0.013499693299214684
urine_protein,0.019837066448731726
relaxation,0.026253196798583917
serum_creatinine,0.03251498964116701
ldl,0.03388919570012833
kidney_outlier_flag,0.0338896830799549
eyesight_right,0.037774515642814456
ast,0.04814310847494202
fasting_blood_sugar,0.07172371757873203
hdl,0.07855439653084624
waist_cm,0.10678634544670709
systolic,0.1312604523171732
cholesterol,0.15212761582311313
dental_caries,0.16642793937314232
alt,0.20043830076268215
triglyceride,0.2701557112535615
weight_kg,0.3180806066889887
gtp,0.5871285131372895
hemoglobin,0.6737567041316688
height_cm,0.7583970058863339
