feature,importance
kidney_outlier_flag,0.0082337065
eyesight_left,0.022847999
eyesight_right,0.023455925
fasting_blood_sugar,0.023871565
relaxation,0.024309065
hearing_left,0.02446805
waist_cm,0.024622763
cholesterol,0.025025493
systolic,0.025063643
ast,0.025550973
weight_kg,0.025695756
urine_protein,0.025746584
hearing_right,0.026062865
hdl,0.026399061
ldl,0.02662624
alt,0.0279723
triglyceride,0.028461482
serum_creatinine,0.030988717
physical_outlier_flag,0.031029135
age,0.035855286
dental_caries,0.043082707
gtp,0.060816336
hemoglobin,0.0746553
height_cm,0.3091591
